C007,"S1- T1, T2","0,1"
C011,"S1 - T3, T4","2,3"
C107,"S1 - T5, T6","4,5"
C108,"S1 - T7, T8","6,7"
C109,"S1 - T9, T10","8,9"
C110,"S1 - T11, T12","10,11"
C111,"S1 - T13, T14","12,13"
C207,"S1 - T15, T16","14,15"
C208,"S1 - T17, T18","16,17"
C210,S1 - T19,18
C211,"S2- T1, T2","19,20"
C225,"S2 - T3, T4","21,22"
C307,"S2 - T5, T6","23,24"
C311,"S2 - T7, T8","25,26"
C325,"S2 - T9, T10","27,28"
C406,"S2- T11, T12","29,30"
C410,"S2 - T13, T14","31,32"
C411,"S2 - T15, T16","33,34"
C422,"S2 - T17, T18","35,36"
C423,S2 - T19,37
C425,"S3- T1, T2","38,39"
C506,"S3 - T3, T4","40,41"
C507,"S3 - T5, T6","42,43"
C510,"S3 - T7, T8","44,45"
C511,"S3 - T9, T10","46,47"
C523,"S3 - T11, T12","48,49"
C607,"S3 - T13, T14","50,51"
C608,"S3 - T15, T16","52,53"
C609,"S3 - T17, T18","54,55"
C623,"S3 - T19, T20, T21","56,57,58"
